user_id,profile_type,username,age,gender,height_cm,weight_kg,bmi,primary_goal,fitness_level,medical_conditions,injuries,sleep_hours_avg,sleep_quality,stress_level,water_intake_liters,equipment_available,diet_type,food_allergies,weekly_food_budget_usd,session_duration_min,is_edge_case,edge_case_name
29,standard_synthetic,synth_user_29,51,other,190,73.0,20.2,rehabilitation,intermediate,"Cardiac_Disease,Osteoporosis",ankle,8.6,excellent,8,2.1,Dumbbells,omnivore,,163,60,False,
30,standard_synthetic,synth_user_30,33,other,172,66.5,22.5,rehabilitation,beginner,Knee_Arthritis,,5.6,fair,7,3.2,Dumbbells,vegetarian,,136,60,False,
31,standard_synthetic,synth_user_31,52,female,184,65.5,19.3,endurance,intermediate,,,5.0,good,5,3.4,Bodyweight Only,low_carb,"peanuts,gluten",169,90,False,
32,standard_synthetic,synth_user_32,49,male,169,72.3,25.3,endurance,advanced,,,5.7,excellent,3,4.0,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,181,90,False,
33,standard_synthetic,synth_user_33,19,other,160,75.0,29.3,endurance,intermediate,,,5.8,good,6,3.4,Bodyweight Only,omnivore,,137,45,False,
34,standard_synthetic,synth_user_34,48,male,156,93.7,38.5,fat_loss,beginner,,shoulder,8.8,fair,1,3.1,Dumbbells,vegan,,151,20,False,
35,standard_synthetic,synth_user_35,31,other,184,77.4,22.9,maintenance,beginner,Asthma,,7.3,good,10,3.2,Bodyweight Only,high_protein,"peanuts,soy",80,20,False,
36,standard_synthetic,synth_user_36,62,other,195,58.2,15.3,maintenance,advanced,Osteoporosis,ankle,6.7,good,2,2.8,Resistance Bands,vegetarian,peanuts,137,60,False,
37,standard_synthetic,synth_user_37,45,male,178,88.6,28.0,rehabilitation,advanced,Asthma,,8.1,excellent,7,3.6,Resistance Bands,omnivore,gluten,92,20,False,
38,standard_synthetic,synth_user_38,46,female,170,79.5,27.5,endurance,intermediate,,,5.7,fair,6,3.5,Resistance Bands,omnivore,,182,45,False,
39,standard_synthetic,synth_user_39,18,other,188,87.8,24.8,muscle_gain,advanced,,,6.9,excellent,8,3.5,"Barbell,Dumbbells,Pull-Up Bar",omnivore,,86,60,False,
40,standard_synthetic,synth_user_40,33,other,174,75.9,25.1,rehabilitation,intermediate,,,6.4,excellent,5,2.3,Dumbbells,vegetarian,,79,45,False,
41,standard_synthetic,synth_user_41,52,male,166,68.6,24.9,muscle_gain,intermediate,Osteoporosis,,5.9,fair,5,1.5,Dumbbells,omnivore,"gluten,peanuts",41,20,False,
42,standard_synthetic,synth_user_42,36,other,163,74.8,28.2,endurance,intermediate,Diabetes_T2,ankle,6.4,poor,5,3.9,Bodyweight Only,vegetarian,,46,60,False,
43,standard_synthetic,synth_user_43,22,female,191,74.4,20.4,maintenance,beginner,,,9.0,poor,9,3.4,Dumbbells,low_carb,,127,60,False,
44,standard_synthetic,synth_user_44,37,female,192,89.6,24.3,fat_loss,beginner,,,7.5,good,2,1.9,Dumbbells,low_carb,,49,30,False,
45,standard_synthetic,synth_user_45,44,male,183,91.0,27.2,maintenance,advanced,,,8.4,poor,4,3.8,Dumbbells,high_protein,,59,90,False,
46,standard_synthetic,synth_user_46,59,male,164,100.9,37.5,endurance,beginner,Diabetes_T2,,6.9,good,7,3.9,Bodyweight Only,high_protein,gluten,50,90,False,
47,standard_synthetic,synth_user_47,45,male,175,87.2,28.5,rehabilitation,advanced,,,8.8,good,10,1.6,Dumbbells,high_protein,,162,60,False,
48,standard_synthetic,synth_user_48,29,female,192,66.3,18.0,maintenance,advanced,Diabetes_T2,,5.4,fair,6,2.5,Bodyweight Only,omnivore,,199,60,False,
49,standard_synthetic,synth_user_49,20,other,184,51.7,15.3,rehabilitation,intermediate,,,6.7,fair,9,2.4,Bodyweight Only,high_protein,peanuts,43,30,False,
50,standard_synthetic,synth_user_50,53,female,163,87.0,32.7,rehabilitation,beginner,,,7.8,good,9,1.5,Bodyweight Only,vegetarian,,87,20,False,
51,standard_synthetic,synth_user_51,25,female,164,68.9,25.6,endurance,beginner,Osteoporosis,,6.8,fair,7,2.0,Dumbbells,vegetarian,,100,60,False,
52,standard_synthetic,synth_user_52,50,female,172,82.5,27.9,endurance,beginner,,,6.8,excellent,6,2.3,Bodyweight Only,high_protein,,112,30,False,
53,standard_synthetic,synth_user_53,33,other,191,64.1,17.6,endurance,advanced,Glaucoma,,8.2,fair,8,3.9,Dumbbells,low_carb,soy,181,45,False,
54,standard_synthetic,synth_user_54,46,male,161,83.7,32.3,muscle_gain,beginner,,,6.9,good,6,3.1,Bodyweight Only,vegetarian,,114,90,False,
55,standard_synthetic,synth_user_55,38,female,195,78.2,20.6,maintenance,beginner,Hypertension,,8.0,excellent,2,3.4,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,72,45,False,
56,standard_synthetic,synth_user_56,20,male,175,95.8,31.3,rehabilitation,intermediate,,,7.3,fair,3,1.9,Bodyweight Only,low_carb,,91,60,False,
57,standard_synthetic,synth_user_57,27,other,169,67.4,23.6,endurance,intermediate,,,7.7,fair,2,2.6,Resistance Bands,low_carb,,106,60,False,
58,standard_synthetic,synth_user_58,34,other,184,83.5,24.7,muscle_gain,intermediate,,,7.3,good,5,1.6,Bodyweight Only,omnivore,,32,90,False,
59,standard_synthetic,synth_user_59,21,other,193,79.3,21.3,maintenance,beginner,Osteoporosis,shoulder,7.5,good,3,3.1,"Barbell,Dumbbells,Pull-Up Bar",omnivore,,142,20,False,
60,standard_synthetic,synth_user_60,41,other,163,51.8,19.5,muscle_gain,advanced,,,8.5,good,9,2.8,Resistance Bands,vegan,,95,60,False,
61,standard_synthetic,synth_user_61,39,female,162,67.7,25.8,rehabilitation,intermediate,,shoulder,5.4,excellent,1,2.2,"Barbell,Dumbbells,Pull-Up Bar",high_protein,soy,124,45,False,
62,standard_synthetic,synth_user_62,42,other,195,87.5,23.0,rehabilitation,intermediate,,,8.7,fair,2,3.1,Bodyweight Only,omnivore,,196,60,False,
63,standard_synthetic,synth_user_63,26,male,157,102.6,41.6,rehabilitation,beginner,,,6.6,good,9,2.5,Dumbbells,high_protein,,197,20,False,
64,standard_synthetic,synth_user_64,57,female,181,87.4,26.7,endurance,beginner,,,8.4,poor,6,2.9,Resistance Bands,vegetarian,,131,45,False,
65,standard_synthetic,synth_user_65,25,male,184,64.1,18.9,muscle_gain,beginner,,,8.1,fair,2,3.6,Dumbbells,low_carb,"peanuts,dairy",85,30,False,
66,standard_synthetic,synth_user_66,27,female,193,48.1,12.9,muscle_gain,beginner,Asthma,ankle,7.6,poor,3,1.5,Dumbbells,low_carb,,112,20,False,
67,standard_synthetic,synth_user_67,34,male,158,65.7,26.3,endurance,intermediate,,,7.1,poor,8,2.8,"Barbell,Dumbbells,Pull-Up Bar",low_carb,,107,60,False,
68,standard_synthetic,synth_user_68,19,other,158,89.9,36.0,endurance,beginner,Glaucoma,,8.6,good,10,1.9,Dumbbells,omnivore,,189,90,False,
69,standard_synthetic,synth_user_69,38,other,179,89.8,28.0,fat_loss,advanced,,,5.5,fair,7,2.6,Dumbbells,high_protein,,116,60,False,
70,standard_synthetic,synth_user_70,44,female,161,61.1,23.6,fat_loss,beginner,,,5.4,poor,6,3.5,"Barbell,Dumbbells,Pull-Up Bar",low_carb,"soy,peanuts",173,90,False,
71,standard_synthetic,synth_user_71,60,female,162,65.3,24.9,maintenance,advanced,Glaucoma,wrist,6.2,poor,10,2.8,Dumbbells,high_protein,,87,20,False,
72,standard_synthetic,synth_user_72,53,female,178,52.8,16.7,rehabilitation,advanced,,,7.5,poor,10,3.8,Resistance Bands,vegetarian,,76,45,False,
73,standard_synthetic,synth_user_73,37,other,176,62.7,20.2,fat_loss,beginner,,,8.0,poor,2,3.4,Dumbbells,high_protein,,137,60,False,
74,standard_synthetic,synth_user_74,28,female,178,61.1,19.3,fat_loss,beginner,,ankle,5.6,poor,2,2.2,Bodyweight Only,high_protein,,185,60,False,
75,standard_synthetic,synth_user_75,35,female,168,79.7,28.2,rehabilitation,intermediate,,,7.1,good,1,2.1,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,82,45,False,
76,standard_synthetic,synth_user_76,26,male,171,73.0,25.0,muscle_gain,intermediate,,,7.1,fair,9,2.9,Resistance Bands,vegetarian,,131,20,False,
77,standard_synthetic,synth_user_77,19,female,184,86.7,25.6,maintenance,beginner,Glaucoma,,6.6,good,3,3.5,Bodyweight Only,omnivore,soy,52,60,False,
78,standard_synthetic,synth_user_78,33,male,182,86.5,26.1,maintenance,beginner,,,6.3,fair,2,2.8,"Barbell,Dumbbells,Pull-Up Bar",low_carb,,160,30,False,
79,standard_synthetic,synth_user_79,40,female,164,57.9,21.5,fat_loss,beginner,,,8.8,excellent,8,3.4,Bodyweight Only,low_carb,,194,90,False,
80,standard_synthetic,synth_user_80,58,female,175,54.3,17.7,maintenance,advanced,,,5.2,poor,5,2.7,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,124,45,False,
81,standard_synthetic,synth_user_81,59,male,160,87.7,34.3,fat_loss,intermediate,,,8.6,fair,6,3.0,Dumbbells,vegetarian,,145,20,False,
82,standard_synthetic,synth_user_82,23,female,187,75.1,21.5,maintenance,intermediate,,,6.5,good,10,1.6,Resistance Bands,vegetarian,"dairy,soy",114,20,False,
83,standard_synthetic,synth_user_83,61,other,179,59.9,18.7,muscle_gain,intermediate,Asthma,,6.2,excellent,3,3.0,"Barbell,Dumbbells,Pull-Up Bar",omnivore,,173,60,False,
84,standard_synthetic,synth_user_84,39,other,163,76.1,28.6,maintenance,beginner,Diabetes_T2,,6.5,fair,4,2.4,Bodyweight Only,vegan,,87,30,False,
85,standard_synthetic,synth_user_85,22,male,173,98.0,32.7,maintenance,advanced,,wrist,5.5,excellent,3,1.9,Dumbbells,high_protein,peanuts,41,60,False,
86,standard_synthetic,synth_user_86,61,female,170,88.7,30.7,endurance,beginner,Cardiac_Disease,,6.5,excellent,8,3.4,Bodyweight Only,low_carb,,165,60,False,
87,standard_synthetic,synth_user_87,30,male,193,66.2,17.8,rehabilitation,beginner,,,6.1,fair,5,2.6,Dumbbells,high_protein,peanuts,53,30,False,
88,standard_synthetic,synth_user_88,40,female,156,65.4,26.9,fat_loss,intermediate,,,5.9,good,2,3.6,Resistance Bands,vegan,,65,20,False,
89,standard_synthetic,synth_user_89,48,female,163,79.9,30.1,muscle_gain,beginner,,,7.2,excellent,2,3.4,Dumbbells,omnivore,"peanuts,dairy",61,20,False,
90,standard_synthetic,synth_user_90,44,male,195,95.7,25.2,rehabilitation,advanced,,,6.0,fair,5,2.6,Resistance Bands,vegan,"peanuts,gluten",176,60,False,
91,standard_synthetic,synth_user_91,60,male,160,83.6,32.7,rehabilitation,advanced,,ankle,5.1,excellent,1,3.1,Resistance Bands,omnivore,,34,45,False,
92,standard_synthetic,synth_user_92,40,male,170,93.0,32.2,maintenance,advanced,Pregnancy_T3,,5.7,excellent,8,3.1,Dumbbells,vegetarian,,147,20,False,
93,standard_synthetic,synth_user_93,30,female,157,81.2,32.9,rehabilitation,intermediate,Pregnancy_T3,ankle,6.0,fair,5,2.4,"Barbell,Dumbbells,Pull-Up Bar",omnivore,,99,20,False,
94,standard_synthetic,synth_user_94,45,female,180,79.2,24.4,endurance,intermediate,Glaucoma,,8.7,good,2,3.3,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,184,30,False,
95,standard_synthetic,synth_user_95,36,other,175,52.3,17.1,endurance,beginner,,,7.8,good,8,1.6,Resistance Bands,low_carb,,141,45,False,
96,standard_synthetic,synth_user_96,21,other,159,76.2,30.1,fat_loss,beginner,,,8.4,excellent,1,1.8,Dumbbells,omnivore,dairy,122,60,False,
97,standard_synthetic,synth_user_97,20,other,193,54.4,14.6,fat_loss,advanced,,,5.6,good,7,2.3,Resistance Bands,vegan,,59,20,False,
98,standard_synthetic,synth_user_98,29,other,186,69.7,20.1,rehabilitation,intermediate,"Diabetes_T2,Asthma",wrist,7.8,excellent,4,1.8,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,74,60,False,
99,standard_synthetic,synth_user_99,61,male,175,90.1,29.4,maintenance,advanced,Osteoporosis,shoulder,5.9,fair,3,2.1,Bodyweight Only,vegetarian,dairy,122,90,False,
100,standard_synthetic,synth_user_100,41,other,184,81.8,24.2,maintenance,intermediate,,,9.0,excellent,9,2.5,Bodyweight Only,low_carb,,48,30,False,
101,standard_synthetic,synth_user_101,59,female,159,66.9,26.5,muscle_gain,intermediate,Pregnancy_T3,,7.0,poor,2,2.8,Resistance Bands,vegan,dairy,71,45,False,
102,standard_synthetic,synth_user_102,32,other,177,87.8,28.0,muscle_gain,advanced,,,8.8,good,3,3.1,"Barbell,Dumbbells,Pull-Up Bar",low_carb,,194,30,False,
103,standard_synthetic,synth_user_103,55,other,164,55.2,20.5,fat_loss,beginner,Pregnancy_T3,ankle,5.2,good,4,3.4,Bodyweight Only,low_carb,,193,20,False,
104,standard_synthetic,synth_user_104,58,female,189,60.2,16.9,endurance,beginner,"Cardiac_Disease,Diabetes_T2",wrist,7.8,fair,8,2.5,Bodyweight Only,vegan,,117,90,False,
105,standard_synthetic,synth_user_105,38,male,175,93.0,30.4,rehabilitation,beginner,Glaucoma,,6.3,excellent,2,2.2,Dumbbells,vegan,,54,20,False,
106,standard_synthetic,synth_user_106,42,female,194,65.6,17.4,maintenance,beginner,"Asthma,Glaucoma",,8.1,excellent,9,2.7,Resistance Bands,high_protein,,35,20,False,
107,standard_synthetic,synth_user_107,50,female,184,88.6,26.2,endurance,advanced,,,8.5,excellent,5,2.8,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,64,45,False,
108,standard_synthetic,synth_user_108,41,other,180,63.4,19.6,rehabilitation,intermediate,,,5.3,excellent,9,2.2,"Barbell,Dumbbells,Pull-Up Bar",vegan,,54,60,False,
109,standard_synthetic,synth_user_109,39,female,190,87.4,24.2,fat_loss,beginner,Knee_Arthritis,,5.2,good,8,2.8,Dumbbells,low_carb,,161,30,False,
110,standard_synthetic,synth_user_110,57,female,175,54.8,17.9,rehabilitation,intermediate,"Osteoporosis,Cardiac_Disease",,6.9,poor,6,2.3,"Barbell,Dumbbells,Pull-Up Bar",high_protein,soy,179,45,False,
111,standard_synthetic,synth_user_111,62,other,195,49.1,12.9,fat_loss,advanced,,ankle,6.9,excellent,3,3.6,Dumbbells,vegetarian,,176,20,False,
112,standard_synthetic,synth_user_112,19,male,183,74.1,22.1,rehabilitation,intermediate,,,8.5,poor,3,2.8,Resistance Bands,high_protein,,164,60,False,
113,standard_synthetic,synth_user_113,29,female,184,86.3,25.5,rehabilitation,intermediate,,,5.8,fair,5,2.9,Dumbbells,omnivore,gluten,103,30,False,
114,standard_synthetic,synth_user_114,49,other,175,68.2,22.3,fat_loss,advanced,,wrist,7.7,excellent,7,3.5,Dumbbells,omnivore,,40,45,False,
115,standard_synthetic,synth_user_115,23,other,177,86.8,27.7,rehabilitation,advanced,Cardiac_Disease,,6.1,poor,10,3.4,Dumbbells,vegan,gluten,42,90,False,
116,standard_synthetic,synth_user_116,58,male,169,62.4,21.8,muscle_gain,beginner,,,8.9,fair,7,3.1,Bodyweight Only,high_protein,,196,30,False,
117,standard_synthetic,synth_user_117,38,female,173,75.1,25.1,fat_loss,beginner,"Diabetes_T2,Pregnancy_T3",,6.7,fair,1,4.0,Bodyweight Only,high_protein,,77,45,False,
118,standard_synthetic,synth_user_118,18,male,174,85.6,28.3,rehabilitation,advanced,,lower_back,7.0,fair,9,2.7,Dumbbells,vegetarian,,114,30,False,
119,standard_synthetic,synth_user_119,47,other,171,78.2,26.7,muscle_gain,beginner,,,7.4,excellent,7,2.8,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,54,30,False,
120,standard_synthetic,synth_user_120,48,male,175,102.1,33.3,maintenance,intermediate,,,6.2,poor,5,3.1,Dumbbells,vegetarian,,200,20,False,
121,standard_synthetic,synth_user_121,37,female,165,65.0,23.9,maintenance,intermediate,,wrist,7.5,fair,3,2.7,Bodyweight Only,low_carb,peanuts,125,60,False,
122,standard_synthetic,synth_user_122,53,other,185,79.8,23.3,rehabilitation,intermediate,Knee_Arthritis,wrist,7.1,good,2,3.8,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,peanuts,170,90,False,
123,standard_synthetic,synth_user_123,54,male,189,66.7,18.7,muscle_gain,advanced,,,7.3,poor,9,2.6,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,63,90,False,
124,standard_synthetic,synth_user_124,47,female,191,50.4,13.8,maintenance,beginner,,wrist,8.0,poor,1,2.6,"Barbell,Dumbbells,Pull-Up Bar",low_carb,,45,20,False,
125,standard_synthetic,synth_user_125,20,female,173,65.2,21.8,endurance,intermediate,Glaucoma,,5.3,fair,6,1.8,Bodyweight Only,low_carb,soy,62,30,False,
126,standard_synthetic,synth_user_126,19,male,174,80.8,26.7,endurance,intermediate,Glaucoma,,5.6,fair,2,1.6,Bodyweight Only,low_carb,dairy,34,30,False,
127,standard_synthetic,synth_user_127,22,male,161,86.7,33.4,fat_loss,intermediate,,,6.8,fair,1,1.9,Resistance Bands,vegan,dairy,177,45,False,
128,standard_synthetic,synth_user_128,56,other,175,57.9,18.9,rehabilitation,advanced,Knee_Arthritis,,8.5,fair,7,2.9,"Barbell,Dumbbells,Pull-Up Bar",omnivore,,194,60,False,
129,standard_synthetic,synth_user_129,38,other,181,65.1,19.9,muscle_gain,beginner,,,6.2,fair,8,3.8,Bodyweight Only,high_protein,,172,90,False,
130,standard_synthetic,synth_user_130,42,male,170,71.5,24.7,maintenance,beginner,,,7.1,fair,1,2.2,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,78,90,False,
131,standard_synthetic,synth_user_131,60,other,190,57.1,15.8,muscle_gain,advanced,,lower_back,5.5,excellent,4,3.2,Dumbbells,high_protein,"peanuts,soy",91,90,False,
132,standard_synthetic,synth_user_132,36,female,179,67.6,21.1,endurance,intermediate,Osteoporosis,,5.4,excellent,6,3.8,Resistance Bands,omnivore,,135,20,False,
133,standard_synthetic,synth_user_133,32,other,164,48.7,18.1,muscle_gain,beginner,,,6.3,excellent,10,3.6,Bodyweight Only,low_carb,gluten,197,45,False,
134,standard_synthetic,synth_user_134,49,female,186,67.4,19.5,muscle_gain,advanced,Pregnancy_T3,,9.0,poor,9,1.6,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,soy,31,60,False,
135,standard_synthetic,synth_user_135,58,male,169,63.1,22.1,fat_loss,advanced,,,7.6,excellent,8,1.5,Bodyweight Only,vegetarian,,34,90,False,
136,standard_synthetic,synth_user_136,35,other,189,89.1,24.9,muscle_gain,beginner,,wrist,8.7,fair,4,2.0,Resistance Bands,omnivore,,98,60,False,
137,standard_synthetic,synth_user_137,41,male,180,80.7,24.9,fat_loss,advanced,,,9.0,poor,2,2.5,Bodyweight Only,low_carb,,151,20,False,
138,standard_synthetic,synth_user_138,18,other,165,51.5,18.9,rehabilitation,beginner,Pregnancy_T3,,5.9,excellent,5,1.6,"Barbell,Dumbbells,Pull-Up Bar",omnivore,peanuts,169,90,False,
139,standard_synthetic,synth_user_139,20,other,166,87.0,31.6,endurance,beginner,,ankle,6.2,fair,10,3.6,Bodyweight Only,low_carb,,114,60,False,
140,standard_synthetic,synth_user_140,26,other,160,69.0,27.0,rehabilitation,advanced,"Hypertension,Cardiac_Disease",,8.8,excellent,6,1.6,Resistance Bands,high_protein,gluten,155,30,False,
141,standard_synthetic,synth_user_141,53,female,179,66.1,20.6,muscle_gain,advanced,Glaucoma,,5.3,good,3,2.4,Dumbbells,high_protein,,111,45,False,
142,standard_synthetic,synth_user_142,23,male,155,102.4,42.6,muscle_gain,intermediate,,knee,6.8,excellent,2,1.6,Resistance Bands,low_carb,,53,90,False,
143,standard_synthetic,synth_user_143,38,other,179,48.5,15.1,rehabilitation,beginner,,wrist,7.7,fair,3,2.2,Resistance Bands,high_protein,"dairy,gluten",67,20,False,
144,standard_synthetic,synth_user_144,45,male,172,78.9,26.7,muscle_gain,advanced,,,7.5,fair,8,1.8,Resistance Bands,vegetarian,,131,45,False,
145,standard_synthetic,synth_user_145,42,other,176,66.5,21.5,maintenance,advanced,,wrist,8.8,fair,8,2.3,Bodyweight Only,omnivore,"dairy,soy",104,60,False,
146,standard_synthetic,synth_user_146,33,other,175,63.8,20.8,rehabilitation,beginner,Glaucoma,,7.7,poor,8,3.9,Dumbbells,high_protein,"dairy,gluten",104,20,False,
147,standard_synthetic,synth_user_147,61,female,186,53.8,15.6,endurance,intermediate,,,5.3,excellent,10,2.5,Bodyweight Only,low_carb,,39,45,False,
148,standard_synthetic,synth_user_148,52,other,193,74.8,20.1,muscle_gain,advanced,,wrist,7.5,excellent,6,3.9,Bodyweight Only,vegetarian,,32,20,False,
149,standard_synthetic,synth_user_149,32,female,187,79.4,22.7,maintenance,intermediate,,,6.9,fair,6,4.0,Bodyweight Only,vegetarian,,105,60,False,
150,standard_synthetic,synth_user_150,25,male,164,75.7,28.1,endurance,beginner,,ankle,6.8,excellent,6,1.7,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,35,45,False,
151,standard_synthetic,synth_user_151,24,other,165,87.1,32.0,endurance,intermediate,Asthma,,5.9,excellent,3,2.0,Bodyweight Only,high_protein,,37,90,False,
152,standard_synthetic,synth_user_152,46,male,192,79.3,21.5,fat_loss,advanced,,,5.4,fair,6,2.3,Bodyweight Only,vegetarian,,97,60,False,
153,standard_synthetic,synth_user_153,58,other,175,73.1,23.9,maintenance,advanced,Diabetes_T2,,7.4,fair,6,1.8,Resistance Bands,vegetarian,dairy,76,45,False,
154,standard_synthetic,synth_user_154,27,other,187,64.3,18.4,endurance,advanced,,,7.1,fair,9,1.9,Resistance Bands,vegan,,77,45,False,
155,standard_synthetic,synth_user_155,57,female,158,84.4,33.8,rehabilitation,advanced,"Cardiac_Disease,Diabetes_T2",,7.6,excellent,8,2.5,Bodyweight Only,high_protein,,72,20,False,
156,standard_synthetic,synth_user_156,19,other,169,60.3,21.1,endurance,advanced,,,8.0,excellent,9,2.8,"Barbell,Dumbbells,Pull-Up Bar",omnivore,,169,45,False,
157,standard_synthetic,synth_user_157,20,other,183,70.9,21.2,fat_loss,intermediate,"Diabetes_T2,Pregnancy_T3",shoulder,6.1,poor,8,3.7,"Barbell,Dumbbells,Pull-Up Bar",vegan,,83,90,False,
158,standard_synthetic,synth_user_158,40,other,194,74.6,19.8,muscle_gain,beginner,,,7.3,good,10,2.8,Resistance Bands,omnivore,,104,90,False,
159,standard_synthetic,synth_user_159,50,female,161,53.7,20.7,muscle_gain,beginner,Glaucoma,lower_back,5.6,good,4,3.4,Bodyweight Only,high_protein,dairy,66,90,False,
